"","Date","Trump","Cruz","Rubio","Carson","Kasich","Bush","Christie","Fiorina","Gilmore","Graham","Huckabee","Jindal","Pataki","Perry","Rand.Paul","Santorum","Walker","Undecided","DOW","Weekday","Month","MonthName","Quarter","Year"
"81",2015-05-08,NA,7,15,7,NA,15,8,NA,NA,NA,8,NA,NA,NA,2,1,14,NA,"5","Friday","05","May",2,"2015"
"82",2015-05-09,NA,7,13,11,1.5,11.5,4.5,2.5,NA,0.5,10.5,1,NA,1.5,6.5,2,12.5,9.5,"6","Saturday","05","May",2,"2015"
"83",2015-05-16,NA,4,12,11,4,7,7,2,NA,1,9,1,NA,2,10,1,17,11,"6","Saturday","05","May",2,"2015"
"84",2015-05-19,5,6,10,10,2,10,4,2,NA,1,10,1,0,1,7,0,10,21,"2","Tuesday","05","May",2,"2015"
"85",2015-05-23,NA,6,16,12,1,10,3,2,NA,1,10,2,NA,4,9,0,13,7,"6","Saturday","05","May",2,"2015"
"86",2015-05-28,4,8,10,8,3,10,6,2,NA,1,9,0,1,2,11,4,11,8,"4","Thursday","05","May",2,"2015"
"87",2015-05-29,3,8,14,7,1,13,4,1,NA,1,10,1,3,5,8,2,10,3,"5","Friday","05","May",2,"2015"
"88",2015-05-30,NA,7,8,6,3,15,2,5,NA,1,9,1,0,2,10,3,12,14,"6","Saturday","05","May",2,"2015"
"89",2015-05-31,4,8,7,11,2,12,5,2,NA,2,6,1,2,4,9,2,12,10,"0","Sunday","05","May",2,"2015"
"90",2015-06-06,NA,7,10,10,2,8,5,7,NA,5,7,1,0,2,9,4,7,14,"6","Saturday","06","June",2,"2015"
"91",2015-06-11,NA,6.5,11,11.5,NA,12,4,3.5,NA,NA,9.5,NA,NA,NA,7,NA,13.5,15.5,"4","Thursday","06","June",2,"2015"
"92",2015-06-13,2,3,10,9,4,14,4,6,NA,0,7,1,0,7,9,3,9,11,"6","Saturday","06","June",2,"2015"
"93",2015-06-14,1,4,14,11,1,22,4,2,NA,1,9,0,0,5,7,0,17,1,"0","Sunday","06","June",2,"2015"
"94",2015-06-20,11,9,11,10,2,10,2,3,NA,2,6,0,0,2,11,2,10,8,"6","Saturday","06","June",2,"2015"
"95",2015-06-21,11,4,8,10,2,15,2,3,NA,1,6,2,1,2,9,3,9,9,"0","Sunday","06","June",2,"2015"
"96",2015-06-26,12,3,7,8,3,17,3,1,NA,1,5,2,0,4,8,4,6,9,"5","Friday","06","June",2,"2015"
